proposerId,username,name,ideascaleUrl,approved_projects_count,paid_projects_count,flags_count,flags_weight,flag_ids,flag_counts_by_id
73013,ubiodee,Ubio Obu,https://cardano.ideascale.com/c/profile/73013,4,4,0,0,,
81255,neal,［SIDAN］ Cow,https://cardano.ideascale.com/c/profile/81255,3,3,0,0,,
cardano/Cts2b7SruM3zq-qGuggk19hQy5zjL5Ttkqq5HKug1r4,3rd Eye Labs,3rd Eye Labs,https://cardano.ideascale.com/c/profile/cardano/Cts2b7SruM3zq-qGuggk19hQy5zjL5Ttkqq5HKug1r4,3,3,0,0,,
77811,www.45b.io,45B - Cardano Enablement,https://cardano.ideascale.com/c/profile/77811,3,3,0,0,,
81256,leuhk99,[SIDAN] Monkey,https://cardano.ideascale.com/c/profile/81256,3,3,0,0,,
81257,ansonchui2608,[SIDAN] Pillow,https://cardano.ideascale.com/c/profile/81257,3,3,0,0,,
88710,adamarkets,ADA Markets,https://cardano.ideascale.com/c/profile/88710,3,3,0,0,,
72169,operations,Adosia Operations,https://cardano.ideascale.com/c/profile/72169,3,3,0,0,,
32807,rumour,Advait,https://cardano.ideascale.com/c/profile/32807,3,3,0,0,,
80900,aigenspace,aigen space,https://cardano.ideascale.com/c/profile/80900,3,3,0,0,,
23218,alessandro.konrad,Alessandro Konrad,https://cardano.ideascale.com/c/profile/23218,3,3,0,0,,
82900,cashdillo,Alex Macbeth,https://cardano.ideascale.com/c/profile/82900,3,3,0,0,,
59831,alexander.cimpeanu,alexander.cimpeanu,https://cardano.ideascale.com/c/profile/59831,3,3,0,0,,
47052,altimario,altimario,https://cardano.ideascale.com/c/profile/47052,3,3,0,0,,
32595,anamaria,Anamaria,https://cardano.ideascale.com/c/profile/32595,3,3,0,0,,
31188,andreassosilo,Andreas Sosilo,https://cardano.ideascale.com/c/profile/31188,3,3,0,0,,
23025,cryptotexty,Andrii Voloshyn,https://cardano.ideascale.com/c/profile/23025,3,3,0,0,,
61907,ankit.dave,Ankit Dave,https://cardano.ideascale.com/c/profile/61907,3,3,0,0,,
43945,deltaverve,Anthony Jackson,https://cardano.ideascale.com/c/profile/43945,3,3,0,0,,
45538,baxter30,baxter30,https://cardano.ideascale.com/c/profile/45538,3,3,0,0,,
44435,ben.mesnik,Ben Mesnik,https://cardano.ideascale.com/c/profile/44435,3,3,0,0,,
70407,beko,berkatalay,https://cardano.ideascale.com/c/profile/70407,3,3,0,0,,
41077,wims,Bernard Sibanda,https://cardano.ideascale.com/c/profile/41077,3,3,0,0,,
71636,luyenct,Cao Thi Luyen,https://cardano.ideascale.com/c/profile/71636,3,3,0,0,,
60981,card.afterdark,card.afterdark,https://cardano.ideascale.com/c/profile/60981,3,3,0,0,,
80419,cardanoghana,Cardano Ghana Community,https://cardano.ideascale.com/c/profile/80419,3,3,0,0,,
66772,cardanoindonesia,Cardano Indonesia,https://cardano.ideascale.com/c/profile/66772,3,3,0,0,,
102096,cardanovietnam,Cardano Vietnam,https://cardano.ideascale.com/c/profile/102096,3,3,0,0,,
50003,cardano.asia,Cardano_Asia Team,https://cardano.ideascale.com/c/profile/50003,3,3,0,0,,
50531,carlhenryglobal,Carl Henry Global,https://cardano.ideascale.com/c/profile/50531,3,3,0,0,,
59934,cagkanacarbay,chakhan.littlefish,https://cardano.ideascale.com/c/profile/59934,3,3,0,0,,
25953,chris.cryptosodysseus,chrisasia,https://cardano.ideascale.com/c/profile/25953,3,3,0,0,,
41333,deeoh2000,deeoh2000,https://cardano.ideascale.com/c/profile/41333,3,3,0,0,,
77285,deltadefi,DeltaDeFi,https://cardano.ideascale.com/c/profile/77285,3,3,0,0,,
81355,dexhunter,Dex Hunter,https://cardano.ideascale.com/c/profile/81355,3,3,0,0,,
52596,dimitri777,Dimitri Fernando,https://cardano.ideascale.com/c/profile/52596,3,3,0,0,,
72882,zahnentferner,DjedAlliance StableOrder,https://cardano.ideascale.com/c/profile/72882,3,3,0,0,,
23346,dmitry.stas,Dmytro Stashenko,https://cardano.ideascale.com/c/profile/23346,3,3,0,0,,
73134,dominiktilman,Dominik Tilman,https://cardano.ideascale.com/c/profile/73134,3,3,0,0,,
59506,dzhuliana,dzhuliana,https://cardano.ideascale.com/c/profile/59506,3,3,0,0,,
60416,educhainment,Educhainment,https://cardano.ideascale.com/c/profile/60416,3,3,0,0,,
27156,emiflake,Emily Martins,https://cardano.ideascale.com/c/profile/27156,3,3,0,0,,
53864,endubisnetwork,endubisnetwork,https://cardano.ideascale.com/c/profile/53864,3,3,0,0,,
81395,engienz,Engie Matene,https://cardano.ideascale.com/c/profile/81395,3,3,0,0,,
23030,eysteinh,Eystein Hansen,https://cardano.ideascale.com/c/profile/23030,3,3,0,0,,
